Ticker,Company Name,Currency,Market Cap (m),Price,Change,Change %
AHT,ASHTEAD GROUP PLC ORD 10P,GBX,"19,171.69","4,395.00",-57.00,-1.28%
BKG,BERKELEY GROUP HOLDINGS (THE) PLC ORD 5.6110477936P,GBX,"4,167.07","4,150.00",-54.00,-1.28%
MRO,MELROSE INDUSTRIES PLC ORD GBP0.001,GBX,"6,128.13",474.60,-6.30,-1.31%
ICG,INTERMEDIATE CAPITAL GROUP PLC ORD 26 1/4P,GBX,"6,010.37","2,036.00",-32.00,-1.55%
AZN,ASTRAZENECA PLC ORD SHS $0.25,GBX,"157,854.99","10,022.00",-158.00,-1.55%
PSN,PERSIMMON PLC ORD 10P,GBX,"4,374.38","1,343.50",-22.50,-1.65%
AAL,ANGLO AMERICAN PLC ORD USD0.54945,GBX,"29,928.31","2,200.50",-37.00,-1.65%
CRDA,CRODA INTERNATIONAL PLC ORD 10.609756P,GBX,"4,420.86","3,113.00",-53.00,-1.67%
BTRW,BARRATT REDROW PLC ORD 10P,GBX,"6,696.29",455.60,-8.20,-1.77%
DPLM,DIPLOMA PLC ORD 5P,GBX,"5,715.91","4,184.00",-76.00,-1.78%
CCEP,COCA-COLA EUROPACIFIC PARTNERS PLC ORD EUR0.01 (DI),GBX,"30,426.10","6,490.00",-120.00,-1.82%
IAG,INTL CONSOLIDATED AIRLINES GROUP SA ORD EUR0.10 (CDI),GBX,"15,243.56",316.30,-6.40,-1.98%
TW.,TAYLOR WIMPEY PLC ORD 1P,GBX,"4,226.58",116.50,-2.85,-2.39%
EDV,ENDEAVOUR MINING PLC ORD USD0.01,GBX,"5,140.19","2,076.00",-52.00,-2.44%
CPG,COMPASS GROUP PLC ORD 11 1/20P,GBX,"44,235.03","2,540.00",-66.00,-2.53%
FRES,FRESNILLO PLC ORD USD0.50,GBX,"7,442.63",981.50,-28.50,-2.82%
EXPN,EXPERIAN PLC ORD USD0.10,GBX,"36,561.41","3,868.00",-114.00,-2.86%
SPX,SPIRAX GROUP PLC ORD 26 12/13P,GBX,"4,858.15","6,190.00",-395.00,-6.00%
IMB,IMPERIAL BRANDS PLC ORD 10P,GBX,"23,711.61","2,680.00",-210.00,-7.27%
